product,price,id
Urban Decay All Nighter Setting Spray,33,861463599
La Mer Crème de la Mer Moisturizing Cream,190,981935539
SK-II Facial Treatment Essence,185,881186100
Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex,100,381181156
Clinique Dramatically Different Moisturizing Gel,29,238963522
Origins GinZing Refreshing Eye Cream,34,815061534
Sunday Riley Good Genes All-In-One Lactic Acid Treatment,85,839517006
Dyson V11 Absolute Cordless Vacuum,699,184255715
Roomba i7+ Robot Vacuum,799,534793413
Nespresso VertuoPlus Coffee and Espresso Maker,179,488407485
Vitamix Explorian Blender,269,443063896
Instant Pot Duo Nova Pressure Cooker,99,138219471
KitchenAid Artisan Stand Mixer,379,985713588
Cuisinart Air Fryer Toaster Oven,199,518967096
All-Clad D3 Stainless Steel Fry Pan,120,218811171
Le Creuset Signature Enameled Cast Iron Dutch Oven,360,598441247
Williams Sonoma Goldtouch Nonstick Bakeware Set,199,802138780
S'well 17oz Water Bottle,35,558527610
Hydro Flask 32oz Wide Mouth Water Bottle,50,380413905
Yeti Hopper BackFlip 24 Cooler,299,192702091
Product Name,Price,439035243
Samsung Galaxy Tab S7,649,209323717
iPad Pro 12.9-inch (5th Gen),1099,1052881
Microsoft Surface Laptop 4,999,646187415
Lenovo ThinkPad X1 Carbon Gen 9,1899,951466603
HP Spectre x360 14t,1299,898496857
LG 65-inch CX OLED 4K TV,2199,760483265
Sony 65-inch A8H OLED 4K TV,2299,277442152
Vizio 55-inch OLED 4K TV,1199,305215343
Sonos Beam Soundbar,399,708448393
Bowers & Wilkins Formation Wedge Wireless Speaker,899,27762217
Yamaha YAS-209 Soundbar with Wireless Subwoofer,349,808065754
JBL Flip 5 Portable Bluetooth Speaker,119,556435237
Garmin Venu 2 GPS Smartwatch,399,731645976
Fitbit Versa 3,229,510228433
Apple Watch Series 7,399,990657562
Breville Barista Pro Espresso Machine,799,82591370
Keurig K-Elite Coffee Maker,169,61815095
Ninja Foodi Grill,239,702506510
All-Clad HA1 Nonstick Set of 3 Skillets,129,781747279
Calphalon Classic Stainless Steel Cookware Set,199,792802715
Crock-Pot Express 6-Quart Pressure Cooker,79,467484228
OXO Good Grips POP Container Set,59,943945034
simplehuman 45L Rectangular Step Trash Can,139,509995613
Brooklinen Luxe Core Sheet Set,139,123122891
Parachute Classic Bathrobe,99,762558131
Ugg Duffield Deluxe Fleece Robe,130,809311750
Barefoot Dreams CozyChic Throw Blanket,180,58167262
Dyson Supersonic Hair Dryer,399,718418348
ghd Platinum+ Professional Performance Styler,249,866518174
Revlon One-Step Hair Dryer and Volumizer,59,131648595
Oribe Gold Lust Repair & Restore Shampoo,49,432233877
Kérastase Discipline Bain Fluidealiste Shampoo,35,365326481
Living Proof Perfect Hair Day Dry Shampoo,26,969669279
OUAI Wave Spray,26,481231235
Dermalogica Daily Microfoliant Exfoliator,59,862736897
Kate Somerville ExfoliKate Intensive Exfoliating Treatment,85,350584884
Dr. Dennis Gross Skincare Alpha Beta Universal Daily Peel,88,276775984
Tatcha The Dewy Skin Cream,68,10137097
Sunday Riley C.E.O. Vitamin C Rich Hydration Cream,65,785771610
Farmacy Honey Potion Renewing Antioxidant Hydration Mask,56,911193732
Fresh Sugar Lip Treatment SPF 15,24,516264601
Nécessaire The Body Wash,25,8345822
Kiehl's Creme de Corps Body Lotion,30,20013764
Sol de Janeiro Brazilian Bum Bum Cream,45,591485004
Laura Mercier Tinted Moisturizer Broad Spectrum SPF 30,47,412030992
Nars Radiant Creamy Concealer,30,717295799
Milk Makeup Kush High Volume Mascara,25,506615818
Tarte Shape Tape Concealer,27,220059490
Pat McGrath Labs MatteTrance Lipstick,38,950539647
MAC Cosmetics Studio Fix Powder Plus Foundation,33,188977239
Chanel Les Beiges Healthy Glow Sheer Powder,58,79224491
Glossier Cloud Paint,18,34084975
Sisley Paris Black Rose Cream Mask,162,91584184
La Prairie Skin Caviar Luxe Cream,520,647082884
Shiseido Ultimune Power Infusing Concentrate Serum,185,4963065
Dior Capture Totale Super Potent Serum,85,819817266
The Ordinary Hyaluronic Acid 2% + B5 Serum,7,644050942
Huda Beauty Tantour Contour & Bronzer Cream,30,715585120
Fenty Beauty Gloss Bomb Universal Lip Luminizer,19,854173461
Jo Malone London Lime Basil & Mandarin Cologne,142,635976973
